scenario_id,n_total,lambda0,cens_prop,prev,hr_overall,rel,hr_pos,hr_neg,replications,metric,value
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,wlr_fh01_p_reject,0.755
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,wlr_fh11_p_reject,0.745
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,wlr_fh10_p_reject,0.71
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,maxcombo_p_reject,0.76
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,cox_p_reject,0.87
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,rmst6_p_reject,0.105
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,rmst12_p_reject,0.195
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,cox_hr_bias,0.0067949271412156
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,cox_hr_mse,0.0081124717433503
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,rmst6_bias,-0.0103980809912775
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,rmst6_mse,0.0148688270993786
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,rmst12_bias,-0.0134699932630691
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,rmst12_mse,0.116031202645933
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,mile6_bias,-0.0039500311401867
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,mile12_bias,0.0006138712085222
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,true_hr_mix,0.7
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,true_rmst6,0.0974191212707449
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,true_rmst12,0.365332727010205
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,true_mile6,0.0314208343165187
3,300,0.0192540883488874,0.0,0.1,0.7,0.9,0.63,0.707777777777778,200,true_mile12,0.0569790565340957
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,logrank_p_reject,0.52
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,wlr_fh00_p_reject,0.52
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,wlr_fh01_p_reject,0.445
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,wlr_fh11_p_reject,0.46
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,wlr_fh10_p_reject,0.415
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,maxcombo_p_reject,0.435
4,300,0.0192540883488874,0.0,0.1,0.8,0.7,0.56,0.826666666666667,200,cox_p_reject,0.52
