vary_factor,logrank_p_reject,wlr_fh00_p_reject,wlr_fh01_p_reject,wlr_fh11_p_reject,wlr_fh10_p_reject,maxcombo_p_reject,cox_p_reject,rmst6_p_reject,rmst12_p_reject,cox_hr_bias,cox_hr_mse,rmst6_bias,rmst6_mse,rmst12_bias,rmst12_mse,mile6_bias,mile12_bias,replications,n_total,lambda0,cens_prop,prev,hr_overall,rel,hr_pos,hr_neg,true_hr_mix,true_rmst6,true_rmst12,true_mile6,true_mile12,scenario_id
hr_overall,0.95,0.95,0.89,0.92,0.905,0.92,0.95,0.41,0.65,0.000424416793408,0.0055055572725442,0.0029258062786729,0.0214027725142159,-0.0046511813347475,0.137354292711713,-0.0015334689280996,-0.0011416805017774,200,500,0.0577622650466621,0.1,0.3,0.7,0.8,0.56,0.76,0.7,0.257828529831753,0.85717827673342,0.0778768374445287,0.116838080617486,482
hr_overall,0.67,0.67,0.585,0.57,0.575,0.565,0.665,0.23,0.335,-0.0019817478508521,0.0068672826248305,0.0006337658672264,0.0233754353413613,-0.0056674465351629,0.138634441372771,0.000405938142241,-0.0033781535558072,200,500,0.0577622650466621,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,485
hr_overall,0.25,0.25,0.205,0.195,0.165,0.155,0.245,0.085,0.115,-0.011150345809169,0.0070059063400305,0.0022758757921983,0.0237781622637703,0.0046532560693752,0.151029599875686,-0.0009522686111974,0.002549876439619,200,500,0.0577622650466621,0.1,0.3,0.9,0.8,0.72,0.977142857142857,0.9,0.0850731289756625,0.280052234002468,0.0255539437935669,0.0377185701427303,488
hr_overall,0.065,0.065,0.06,0.065,0.05,0.05,0.06,0.06,0.06,-0.0054540846477496,0.0089815448757919,-0.0175258381111605,0.0237848433232584,-0.0337634002665988,0.139440416589906,-0.0033872137611693,-0.0034866964000505,200,500,0.0577622650466621,0.1,0.3,1.0,0.8,0.8,1.08571428571429,1.0,0.0016071805539947,0.0100822807833687,0.0007378307018689,0.0021160091467135,491
