vary_factor,logrank_p_reject,wlr_fh00_p_reject,wlr_fh01_p_reject,wlr_fh11_p_reject,wlr_fh10_p_reject,maxcombo_p_reject,cox_p_reject,rmst6_p_reject,rmst12_p_reject,cox_hr_bias,cox_hr_mse,rmst6_bias,rmst6_mse,rmst12_bias,rmst12_mse,mile6_bias,mile12_bias,replications,n_total,lambda0,cens_prop,prev,hr_overall,rel,hr_pos,hr_neg,true_hr_mix,true_rmst6,true_rmst12,true_mile6,true_mile12,scenario_id
cens_prop,0.75,0.75,0.625,0.695,0.59,0.625,0.75,0.16,0.375,-0.0093242365774938,0.0053138413327377,-0.0127974426890292,0.0210093777999541,0.0020132593902119,0.132190047855488,-0.0010785213823527,0.0059542161191649,200,500,0.0577622650466621,0.0,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,449
cens_prop,0.67,0.67,0.585,0.57,0.575,0.565,0.665,0.23,0.335,-0.0019817478508521,0.0068672826248305,0.0006337658672264,0.0233754353413613,-0.0056674465351629,0.138634441372771,0.000405938142241,-0.0033781535558072,200,500,0.0577622650466621,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,485
cens_prop,0.59,0.59,0.505,0.5,0.475,0.465,0.59,0.175,0.335,-0.0073879397224519,0.0070079970058522,0.0064902119859259,0.0201730756049314,-0.0043538124124084,0.136734136712874,0.0004077496456512,-0.0027316337346162,200,500,0.0577622650466621,0.3,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.170463136776407,0.56220242569845,0.0512562321203144,0.0758961212048063,521
