"logrank_p_reject","wlr_fh00_p_reject","wlr_fh01_p_reject","wlr_fh11_p_reject","wlr_fh10_p_reject","maxcombo_p_reject","cox_p_reject","rmst6_p_reject","rmst12_p_reject","cox_hr_bias","cox_hr_mse","rmst6_bias","rmst6_mse","rmst12_bias","rmst12_mse","mile6_bias","mile12_bias","replications","n_total","lambda0","cens_prop","prev","hr_overall","rel","hr_pos","hr_neg","true_hr_mix","true_rmst6","true_rmst12","true_mile6","true_mile12"
0.04,0.04,0.06,0.04,0.06,0.03,0.04,0.07,0.06,-0.0016295500198078,0.0140152277612412,0.0311822483867609,0.0475882505317627,0.0623927192797958,0.260522436161113,0.00656563112909565,0.00183674523069924,200,300,0.0577622650466621,0,0.3,1,0.9,0.9,1.04285714285714,1,0.000399807294170884,0.00249569782386594,0.000183214353567274,0.000521725092659131
0.03,0.03,0.04,0.035,0.045,0.025,0.025,0.04,0.04,-0.00482781269103688,0.0118432211942129,0.0345353159141647,0.0521885380114787,0.0442460029222379,0.2241088102039,0.00552844050808677,-0.00136164258987487,200,300,0.115524530093324,0,0.3,1,0.9,0.9,1.04285714285714,1,0.00124784891193297,0.00616893048093559,0.000521725092659131,0.00105800457335675
0.05,0.05,0.055,0.035,0.035,0.02,0.05,0.035,0.06,0.00479594553441848,0.0151227405645333,0.00773842324035192,0.0157053477287738,0.0237806631848143,0.121098851738034,0.000401043317081078,0.00361106627388289,200,300,0.0192540883488874,0.1,0.3,1,0.9,0.9,1.04285714285714,1,5.25492354785939e-05,0.000386426844634968,2.5534550787687e-05,9.11968825599851e-05
0.045,0.045,0.055,0.025,0.06,0.025,0.045,0.065,0.07,0.0048903382632388,0.0138616081146404,0.00550476742211357,0.0444258753216344,-0.00845871830056721,0.25947717200692,-0.00134302562569068,-0.00365852724632382,200,300,0.0577622650466621,0.1,0.3,1,0.9,0.9,1.04285714285714,1,0.000399807294170884,0.00249569782386594,0.000183214353567274,0.000521725092659131
0.075,0.075,0.055,0.06,0.075,0.06,0.07,0.075,0.09,0.0139515453124947,0.0188352104126081,-0.0183852815441206,0.0617824555144036,-0.0369940137078937,0.26867310395209,-0.00399780518225549,-0.00456005242188601,200,300,0.115524530093324,0.1,0.3,1,0.9,0.9,1.04285714285714,1,0.00124784891193297,0.00616893048093559,0.000521725092659131,0.00105800457335675
0.06,0.06,0.075,0.06,0.07,0.03,0.06,0.045,0.06,-0.00504235733411604,0.0214183259386567,-0.0110707177656907,0.0177390932603492,-0.0292109626965685,0.128479157850596,-0.0031069960019689,-0.00360831457986792,200,300,0.0192540883488874,0.3,0.3,1,0.9,0.9,1.04285714285714,1,5.25492354785939e-05,0.000386426844634968,2.5534550787687e-05,9.11968825599851e-05
0.03,0.03,0.04,0.04,0.035,0.03,0.03,0.025,0.03,-0.0198562483726602,0.0145275927613217,0.0334121633434271,0.0348850593041547,0.0913039723093742,0.205453054455894,0.00748389960850028,0.00846267929959722,200,300,0.0577622650466621,0.3,0.3,1,0.9,0.9,1.04285714285714,1,0.000399807294170884,0.00249569782386594,0.000183214353567274,0.000521725092659131
0.035,0.035,0.045,0.035,0.06,0.035,0.035,0.06,0.06,0.0180212791451177,0.0201961707828416,-0.00631961870587037,0.0603596889388449,-0.0373368082180729,0.285699759698138,-0.000526942543955518,-0.00645603399582072,200,300,0.115524530093324,0.3,0.3,1,0.9,0.9,1.04285714285714,1,0.00124784891193297,0.00616893048093559,0.000521725092659131,0.00105800457335675
0.025,0.025,0.025,0.03,0.045,0.01,0.025,0.055,0.035,-0.00279119382544458,0.0112907549211799,0.00788889396335839,0.0140400909299206,0.0173631991661741,0.0981733840037427,0.00263224409549142,0.00112914993159272,200,300,0.0192540883488874,0,0.5,1,0.9,0.9,1.1,1,0.000122414232980539,0.000898736882191997,5.94499631501044e-05,0.000211862652451766
0.06,0.06,0.08,0.055,0.055,0.04,0.06,0.06,0.06,-0.0132828624738613,0.0151190222455889,0.00162467992627665,0.0444283247651142,0.0242074029651472,0.246477440925194,0.00124227465718342,0.00361659690594201,200,300,0.0577622650466621,0,0.5,1,0.9,0.9,1.1,1,0.000928382475985146,0.00576858913363765,0.000424706988457646,0.00120161351827508
